Timestamp,answerCode,elapsed,assessmentItemID,KnowledgeTag,testId,userID,item,item_order,user_total_correct_cnt,user_total_ans_cnt,user_total_acc,test_size,retest,user_test_ans_cnt,user_test_correct_cnt,user_acc,test_mean,test_sum,ItemID_mean,ItemID_sum,tag_mean,tag_sum,classification,paperNum,problemNum,hours,time_bin,tag_acc,assessment_acc,test_acc,time,correct_shift_-2,correct_shift_-1,correct_shift_1,correct_shift_2,total_used_time,shift,past_correct,future_correct,past_content_correct,past_count,average_correct,past_content_count,average_content_correct,mean_time,time_median,hour,correct_per_hour,hour_mode,is_night,normalized_time,relative_time,time_cut,time_qcut,same_tag,cont_tag
2018-10-18 10:00:00,1,3,26662764,5483,7522,50126,763,13,0.0,0,0.0,50,0,0,0.0,0.0,0.9,45,1.0,1,0.9,45,2,522,764,10,1,0,0,0,1539856800.0,0.0,0.0,0.0,0.0,1539856800.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,1539856800.0,10,0.5223300970873787,10,False,0.0,0.0,"(1535763554.1, 1544505000.0]","(1535789699.999, 1557160200.0]",False,0
2019-06-06 13:45:00,1,17,24795519,5639,5404,50148,518,6,0.0,0,0.0,30,0,0,0.0,0.0,0.4,12,1.0,1,0.4,12,0,404,519,13,2,0,0,0,1559828700.0,0.0,0.0,0.0,0.0,1559828700.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,1559828700.0,13,0.5764499121265377,13,True,0.0,0.0,"(1553220300.0, 1561935600.0]","(1557160200.0, 1560434400.0]",False,0
2019-06-12 21:00:00,0,337,485440,8286,8901,50252,439,0,0.0,0,0.0,4,0,0,0.0,0.0,0.25,1,0.0,0,0.25,1,0,901,440,21,3,0,0,0,1560373200.0,0.0,0.0,0.0,0.0,1560373200.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,1560373200.0,21,0.5887978142076503,21,True,0.0,0.0,"(1553220300.0, 1561935600.0]","(1557160200.0, 1560434400.0]",False,0
2018-10-21 15:45:00,0,68,48137872,3134,9267,50261,871,1,0.0,0,0.0,3,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,6,267,872,15,2,0,0,0,1540136700.0,0.0,0.0,0.0,0.0,1540136700.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,1540136700.0,15,0.5520282186948854,15,True,0.0,0.0,"(1535763554.1, 1544505000.0]","(1535789699.999, 1557160200.0]",False,0
2019-06-23 10:00:00,1,37,55979663,7143,2475,50296,662,6,0.0,0,0.0,12,0,0,0.0,0.0,0.6666666666666666,8,1.0,1,0.6666666666666666,8,7,475,663,10,1,0,0,0,1561284000.0,0.0,0.0,0.0,0.0,1561284000.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,1561284000.0,10,0.5223300970873787,10,False,0.0,0.0,"(1553220300.0, 1561935600.0]","(1560434400.0, 1561935600.0]",False,0
2019-06-06 19:30:00,1,45,56196759,7193,9210,50301,758,1,0.0,0,0.0,2,0,0,0.0,0.0,1.0,2,1.0,1,1.0,2,1,210,759,19,3,0,0,0,1559849400.0,0.0,0.0,0.0,0.0,1559849400.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,1559849400.0,19,0.5618860510805501,19,True,0.0,0.0,"(1553220300.0, 1561935600.0]","(1557160200.0, 1560434400.0]",False,0
2019-06-03 12:00:00,0,172,98333417,1959,8923,50303,416,21,0.0,0,0.0,22,0,0,0.0,0.0,0.36363636363636365,8,0.0,0,0.36363636363636365,8,2,923,417,12,2,0,0,0,1559563200.0,0.0,0.0,0.0,0.0,1559563200.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,1559563200.0,12,0.5175718849840255,12,False,0.0,0.0,"(1553220300.0, 1561935600.0]","(1557160200.0, 1560434400.0]",False,0
2019-06-20 21:00:00,0,4,28900574,7063,5569,50343,573,4,0.0,0,0.0,11,0,0,0.0,0.0,0.09090909090909091,1,0.0,0,0.09090909090909091,1,6,569,574,21,3,0,0,0,1561064400.0,0.0,0.0,0.0,0.0,1561064400.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,1561064400.0,21,0.5887978142076503,21,True,0.0,0.0,"(1553220300.0, 1561935600.0]","(1560434400.0, 1561935600.0]",False,0
2019-05-16 23:15:00,1,8,11424041,7987,7151,50351,40,1,0.0,0,0.0,10,0,0,0.0,0.0,0.6,6,1.0,1,0.6,6,5,151,41,23,3,0,0,0,1558048500.0,0.0,0.0,0.0,0.0,1558048500.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,1558048500.0,23,0.5725190839694656,23,True,0.0,0.0,"(1553220300.0, 1561935600.0]","(1557160200.0, 1560434400.0]",False,0
2019-06-01 19:45:00,0,47,59917429,1832,0363,50359,428,23,0.0,0,0.0,31,0,0,0.0,0.0,0.3225806451612903,10,0.0,0,0.3225806451612903,10,6,363,429,19,3,0,0,0,1559418300.0,0.0,0.0,0.0,0.0,1559418300.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,1559418300.0,19,0.5618860510805501,19,True,0.0,0.0,"(1553220300.0, 1561935600.0]","(1557160200.0, 1560434400.0]",False,0
