Timestamp,answerCode,elapsed,assessmentItemID,userID,KnowledgeTag,testId
2019-06-23 10:00:00 UTC,True,28,174388856,87779,6021,4652
2019-06-02 14:00:00 UTC,False,93,126998514,114216,7465,15165
2019-06-13 16:00:00 UTC,False,0,150693833,74817,2011,10745
2018-09-21 11:45:00 UTC,True,12,193720795,186207,3594,2562
2019-05-16 11:45:00 UTC,True,83,180116209,158995,5492,18008
2019-06-20 14:00:00 UTC,False,32,145590626,148843,4716,14951
2019-06-11 22:00:00 UTC,False,6,123772660,79514,6345,19292
2018-10-16 12:30:00 UTC,False,4,156512508,77432,8952,5508
2019-06-23 10:00:00 UTC,True,6,113335117,77269,6020,3293
2019-06-27 18:30:00 UTC,True,26,179827652,106335,8387,17687
2019-06-03 13:15:00 UTC,False,106,124575522,104983,8387,17687
2019-06-25 12:15:00 UTC,True,22,158240391,58161,6296,3806
2018-09-08 10:15:00 UTC,True,16,162348793,52480,1557,13713
2018-10-07 20:15:00 UTC,True,4,117368484,112345,2674,12160
2019-06-17 14:30:00 UTC,False,108,156257051,56006,5468,6033
2018-10-30 15:45:00 UTC,False,83,126179521,108114,7822,17754
2019-06-05 13:00:00 UTC,True,3,160255967,110834,7249,14815
2018-09-11 20:15:00 UTC,True,14,165363985,124544,4463,15512
2019-06-11 20:00:00 UTC,True,1,118851533,86683,6873,16594
2019-06-04 21:15:00 UTC,False,55,123437107,70884,6339,7008
2018-10-16 12:45:00 UTC,False,10,137498399,116319,1603,10921
2019-05-13 16:15:00 UTC,True,4,125210598,59746,2761,9452
2019-06-18 14:30:00 UTC,False,10,122993456,154351,2503,9137
2019-06-03 09:45:00 UTC,False,10,167438227,109068,4187,13777
2019-06-03 21:30:00 UTC,False,152,117778744,86581,7384,19476
2018-10-29 20:30:00 UTC,True,6,177596907,140165,7744,6580
2019-06-11 17:30:00 UTC,False,10,120051621,154087,6240,10780
2018-10-03 21:45:00 UTC,False,23,158333064,135668,1824,6763
2019-06-17 20:30:00 UTC,False,17,183798576,151437,8732,16050
2019-06-13 09:00:00 UTC,False,256,197161325,56741,1017,4556
2019-06-13 14:30:00 UTC,True,75,177223505,153869,4160,2593
2019-06-11 14:15:00 UTC,False,24,175485540,57828,3038,7323
2019-06-02 22:45:00 UTC,False,7,169148445,110464,5054,4015
2018-09-15 20:30:00 UTC,True,30,143378220,107641,3333,16732
2018-10-09 16:15:00 UTC,False,137,163425712,77917,7747,14361
2019-06-19 17:45:00 UTC,False,20,106190924,99835,2929,12911
2019-06-11 13:00:00 UTC,False,28,153400655,92248,1017,4556
2019-06-17 20:30:00 UTC,False,51,156416642,94458,5852,4776
2019-06-04 14:00:00 UTC,True,26,119576029,173692,5724,3718
2018-10-19 17:15:00 UTC,False,15,173588861,70560,3957,15876
2019-06-14 21:45:00 UTC,False,53,175683890,177411,9827,3211
2019-06-11 17:00:00 UTC,True,7,186658255,188351,1145,19609
2019-06-19 21:30:00 UTC,False,26,180402721,176578,9317,7297
2018-09-25 14:45:00 UTC,True,31,114961726,118022,4811,5602
2018-10-11 17:15:00 UTC,False,9,145833179,63134,5310,10716
2019-06-22 10:45:00 UTC,True,5,121244748,132485,8952,5508
2018-09-25 23:15:00 UTC,True,155,148777863,134442,1164,15339
2019-05-14 16:15:00 UTC,True,8,125928040,77130,4961,8807
2019-06-23 11:30:00 UTC,False,46,156062093,80957,2414,2841
2019-06-28 10:45:00 UTC,False,27,147020498,162860,2674,12160
2019-06-11 16:15:00 UTC,False,52,163298301,78886,6367,6404
2019-06-12 10:00:00 UTC,True,8,187932887,57630,9445,19811
2019-06-09 17:15:00 UTC,False,23,103363789,139572,8698,18741
2019-06-05 21:00:00 UTC,False,18,172456604,101168,2663,18178
2019-06-10 15:45:00 UTC,False,18,104446191,59304,2613,6346
2019-06-14 14:30:00 UTC,False,269,163828317,195018,3463,3476
2018-09-30 20:15:00 UTC,True,16,142927292,75535,3381,6115
2018-09-09 19:30:00 UTC,True,9,171613520,144561,9317,7297
2019-05-16 17:00:00 UTC,True,37,181465268,150035,2123,13267
2018-09-28 20:00:00 UTC,True,40,100379047,81359,9759,6694
2019-06-14 21:15:00 UTC,True,10,170674793,152562,4586,2701
2018-10-01 16:30:00 UTC,False,12,175546993,118271,8709,16494
2018-09-25 11:00:00 UTC,True,6,148944070,162688,1178,9481
2019-06-16 14:30:00 UTC,False,10,169188006,180689,2503,9137
2019-06-12 20:15:00 UTC,False,3,165819300,96294,7028,6287
2019-06-14 16:30:00 UTC,False,47,135280716,87441,5586,3955
2018-10-26 18:45:00 UTC,False,78,119492765,100509,3102,19485
2019-06-22 11:00:00 UTC,True,3,154870887,175177,6136,7276
2018-09-17 20:00:00 UTC,True,5,122847166,178697,5010,8950
2019-06-03 12:00:00 UTC,False,21,138357254,144087,8952,5508
2019-06-12 15:45:00 UTC,True,18,183605578,138616,5627,6120
2018-10-05 20:45:00 UTC,False,29,163897172,72718,9479,17409
2019-06-06 22:30:00 UTC,False,7,136042851,67899,4253,3602
2019-06-14 08:30:00 UTC,True,44,171255235,76652,9666,17166
2019-06-29 22:00:00 UTC,True,6,138796177,62766,2674,12160
2019-05-15 15:00:00 UTC,True,18,163843574,71702,2498,15800
2018-09-19 22:15:00 UTC,True,48,167317058,120738,3739,12418
2019-05-20 15:30:00 UTC,True,4,188693856,174662,3945,14384
2019-06-24 09:45:00 UTC,True,11,189538132,76226,6651,8271
2019-06-12 19:15:00 UTC,True,5,117688375,178844,2069,15770
2019-06-13 14:45:00 UTC,False,78,173777082,184155,3379,9306
2019-06-28 22:30:00 UTC,True,18,136279240,190436,2577,19050
2018-09-19 17:30:00 UTC,True,48,188946911,139798,7384,19476
2019-06-02 09:15:00 UTC,True,47,109146070,166910,3851,11781
2019-06-06 11:45:00 UTC,False,35,164728090,182608,3760,2717
2019-06-05 12:00:00 UTC,False,55,167822366,57231,9129,10386
2018-10-11 16:45:00 UTC,False,54,127860998,90561,5991,17138
2019-06-26 11:30:00 UTC,False,88,197600581,104289,6210,16675
2018-10-16 16:30:00 UTC,False,19,197572097,82790,6238,12088
2018-09-19 11:30:00 UTC,True,20,161870449,179213,7349,12304
2019-06-10 20:30:00 UTC,False,156,107622799,174127,8387,17687
2019-06-25 14:30:00 UTC,True,6,118138968,67554,5339,2158
2019-05-01 10:15:00 UTC,True,39,178976774,106618,7864,17726
2019-06-11 23:00:00 UTC,True,6,190115817,168871,6451,4220
2019-05-19 16:00:00 UTC,True,10,199318357,102630,3103,4111
2019-06-01 14:45:00 UTC,True,15,127380428,137648,3281,19289
2018-09-24 11:45:00 UTC,True,8,164789325,131577,1164,15339
2019-06-23 18:45:00 UTC,False,21,187059845,105916,5513,9930
2019-06-30 15:00:00 UTC,False,125,189035057,165554,3604,3290
2018-10-19 11:30:00 UTC,True,29,164036296,193134,2941,3529
2019-06-18 22:00:00 UTC,True,550,119513799,170090,2154,5169
2019-05-27 19:15:00 UTC,True,7,178571101,71713,2952,3247
2019-06-10 16:30:00 UTC,False,27,149414227,68637,8482,5575
2019-05-15 21:00:00 UTC,True,45,101594143,140775,2945,7505
2019-06-17 17:15:00 UTC,False,97,103780768,53800,4811,5602
2019-06-08 18:15:00 UTC,True,5,101501546,189230,2414,2841
