Timestamp,answerCode,elapsed,assessmentItemID,KnowledgeTag,testId,userID
2019-06-23 10:00:00 UTC,True,28,114094331,2142,26000,165749
2019-06-02 14:00:00 UTC,False,93,163692928,9908,37064,91643
2019-06-13 16:00:00 UTC,False,0,159387754,7758,32467,181342
2018-09-21 11:45:00 UTC,True,12,148696773,7166,22887,50044
2019-05-16 11:45:00 UTC,True,83,142962473,9700,34497,177435
2019-06-20 14:00:00 UTC,False,32,188214062,3008,26370,137463
2019-06-11 22:00:00 UTC,False,6,108046553,6381,39337,112939
2018-10-16 12:30:00 UTC,False,4,195699083,5677,24720,142847
2019-06-23 10:00:00 UTC,True,6,150759988,9157,23827,150365
2019-06-27 18:30:00 UTC,True,26,146782440,7563,28435,189437
2019-06-03 13:15:00 UTC,False,106,126549636,7563,28435,103117
2019-06-25 12:15:00 UTC,True,22,160824315,2061,38617,79241
2018-09-08 10:15:00 UTC,True,16,108884269,9219,21939,93573
2018-10-07 20:15:00 UTC,True,4,188422610,3751,21293,156811
2019-06-17 14:30:00 UTC,False,108,111507551,5639,25404,150876
2018-10-30 15:45:00 UTC,False,83,151605915,3318,39929,187770
2019-06-05 13:00:00 UTC,True,3,108991648,5483,37522,122010
2018-09-11 20:15:00 UTC,True,14,135476454,7407,29606,62597
2019-06-11 20:00:00 UTC,True,1,106073224,2136,36842,102160
2019-06-04 21:15:00 UTC,False,55,171785721,7677,34872,102003
2018-10-16 12:45:00 UTC,False,10,152812004,1362,30535,177063
2019-05-13 16:15:00 UTC,True,4,167143696,4601,21362,155193
2019-06-18 14:30:00 UTC,False,10,148951039,1590,26885,116683
2019-06-03 09:45:00 UTC,False,10,105769456,9739,36851,121810
2019-06-03 21:30:00 UTC,False,152,114930130,9689,35384,140547
2018-10-29 20:30:00 UTC,True,6,171400116,1104,27089,142607
2019-06-11 17:30:00 UTC,False,10,146454354,9117,33159,163323
2018-10-03 21:45:00 UTC,False,23,189235906,3937,27658,191312
2019-06-17 20:30:00 UTC,False,17,121106919,1642,24710,139538
2019-06-13 09:00:00 UTC,False,256,179824046,9218,36975,180657
2019-06-13 14:30:00 UTC,True,75,107712864,4744,27674,191683
2019-06-11 14:15:00 UTC,False,24,166448324,7801,29079,189521
2019-06-02 22:45:00 UTC,False,7,118038291,8009,37702,164607
2018-09-15 20:30:00 UTC,True,30,115661663,9858,26138,151743
2018-10-09 16:15:00 UTC,False,137,144034461,6212,36805,137903
2019-06-19 17:45:00 UTC,False,20,119614945,2297,31600,50397
2019-06-11 13:00:00 UTC,False,28,111283929,9218,36975,163176
2019-06-17 20:30:00 UTC,False,51,146573296,6654,24173,64718
2019-06-04 14:00:00 UTC,True,26,146826547,3968,33675,114029
2018-10-19 17:15:00 UTC,False,15,193098527,2600,32708,180294
2019-06-14 21:45:00 UTC,False,53,191481023,5067,33712,193300
2019-06-11 17:00:00 UTC,True,7,190742012,9308,37497,63059
